39
1 2 3 4 2.836410423077881
5 39 3 6 2.0484093836173396
39 2 7 8 1.5351275905148587
9 10 11 12 3.9944427649630825
13 0 14 12 3.160420440349086
5 39 15 2 1.5130507454925524
39 0 0 0 2.2476040994109585
2 16 1 4 2.539707724718153
39 17 1 18 1.7370226088986276
11 3 19 20 4.044498875000973
14 21 9 22 3.7557131116095634
7 3 21 23 3.4035114119504315
24 14 25 20 3.918885288483071
39 39 7 8 1.129643363280921
9 14 11 12 4.080134508175497
26 1 2 18 2.680098596240885
27 2 9 0 2.8711524669918966
1 39 15 18 1.9340751231896944
13 2 3 4 2.593730184596878
26 14 21 22 3.7358635558124473
28 29 14 30 4.178298980603599
15 21 7 31 2.9656646564791083
0 2 24 32 3.128501194584272
33 0 17 29 3.3855794566312194
11 24 10 20 4.06959143590272
7 7 2 34 2.50852980755025
11 26 19 12 3.969350204061335
5 2 3 6 2.4538936108512774
2 3 0 32 3.108651638787155
14 11 24 20 4.155283179115136
29 29 29 30 4.474602808964615
7 17 11 35 3.0422743517266686
14 1 0 12 3.4031006788300893
21 3 14 36 3.8917370730768424
17 37 1 12 2.882529991640746
38 11 3 20 3.64048863174818
0 0 29 29 3.693532048877942
14 5 15 22 3.011635010939534
39 15 0 0 2.206316338898969
